name,author,intro

深度学习入门：基于Python的理论与实现,"

斋藤康毅                    ?

            ",本书是深度学习真正意义上的入门书，深入浅出地剖析了深度学习的原理和相关技术。书中使用Python3，尽量不依赖...

Kotlin从小白到大牛,关东升,本书是一本Kotlin语言学习立体教程，主要内容包括：Kotlin语法基础、Kotlin编码规范、数据类型、字...

Python深度学习,张亮（hysic）,本书由Keras之父、现任Google人工智能研究员的弗朗索瓦?肖莱（Franc?ois Chollet）执笔...

我的第一本算法书,"

宫崎修一                    ?

石田保辉                    ?

            ",本书采用大量图片，通过详细的分步讲解，以直观、易懂的方式展现了7个数据结构和26个基础算法的基本原理。第1章介...

Java从小白到大牛 精简版,关东升,这是一本Java语言学习教程，读者群是零基础小白，通过本书的学习能够成为Java大牛。主要内容包括：Java语...

程序员的英语,"

朴栽浒                    ?

李海永                    ?

            ",本书旨在最大限度提高对开发人员最重要的英文读解能力，培养能够快速阅读英文报道等IT相关文档的基本技能。书中借助...

Python基础教程（第3版）,袁国忠,本书包括Python程序设计的方方面面：首先从Python的安装开始，随后介绍了Python的基础知识和基本概...

SQL 经典实例,"

Anthony Molinaro                    ?

            ",本书详细介绍了各种数据库的SQL查询技术和一些基础的SQL查询语句，并且通过实例操作的方式讲解了如何插入、更新...

Flask Web开发：基于Python的Web应用开发实战（第2版）,安道,本书共分三部分，全面介绍如何基于Python微框架Flask进行Web开发。第一部分是Flask简介，介绍使用...

Python 3网络爬虫开发实战,崔庆才,本书介绍了如何利用Python 3开发网络爬虫，书中首先介绍了环境配置和基础知识，然后讨论了urllib、re...

别拿相关当因果！因果关系简易入门,"

Samantha Kleinberg                    ?

            ",本书是写给普通人的因果逻辑入门书，旨在帮助读者培养严谨的思维方式，在不借助任何专业知识的前提下，准确定位问题。...

Node.js实战（第2版）,吴海星,本书是Node.js的实战教程，涵盖了为开发产品级Node应用程序所需要的一切特性、技巧以及相关理念。 从搭建...

美团机器学习实践,"

美团算法团队                    ?

            ",人工智能技术正以一种前所未有的速度深刻地改变着我们的生活，引导了第四次工业革命。美团作为国内O2O领域领先的服...

精通Java并发编程（第2版）,唐富年,Java 提供了一套非常强大的并发API，可以轻松实现任何类型的并发应用程序。本书讲述Java 并发API 最...

React设计模式与最佳实践,林昊,本书共分为12章，通过介绍React中有价值的设计模式，展示如何将设计模式和最佳实践应用于现实的新项目和已有项...

游戏剧本怎么写,"

佐佐木智广                    ?

            ",本书从人物、世界体系、台词等角度入手，通过解析多部经典游戏、动漫作品的剧本细节，通俗而又系统地讲解了游戏剧本的...

一个64位操作系统的设计与实现,田宇,本书讲述了一个64位多核操作系统的自制过程。此操作系统自制过程是先从虚拟平台构筑起一个基础框架，随后再将基础框...

机器学习与优化,"

 [意] 罗伯托·巴蒂蒂                    ?

[意] 毛罗·布鲁纳托                     ?

            ",本书是机器学习实战领域的一本佳作，从机器学习的基本概念讲起，旨在将初学者引入机器学习的大门，并走上实践的道路。...

Java从小白到大牛,关东升,这是一本Java语言学习立体教程，读者群是零基础小白，通过本书的学习能够成为Java大牛。主要内容包括：Jav...

Python编程导论（第2版）,陈光欣,本书基于MIT 编程思维培训讲义写成，主要目标在于帮助读者掌握并熟练使用各种计算技术，具备用计算思维解决现实问...

你不知道的JavaScript（下卷）  ,单业,JavaScript这门语言简单易用，很容易上手，但其语言机制复杂微妙，即使是经验丰富的JavaScript开...

图解深度学习,"

山下隆义                    ?

            ","本书从深度学习的发展历程讲起，以丰富的图例从理论和实践两个层面

介绍了深度学习的各种方法，以及深度学习在图像..."

Hive实战,唐富年,Hive“出身名门”，是最初由Facebook公司开发的数据仓库工具。它简单且容易上手，是深入学习Hadoop...

面向数据科学家的实用统计学,"

Peter Bruce                     ?

Andrew Bruce                    ?

            ",本书解释了数据科学中至关重要的统计学概念，介绍如何将各种统计方法应用于数据科学。作者以易于理解、浏览和参考的方...

统计学大师之路：乔治·博克斯回忆录,"

［英］乔治·博克斯（George E.P. Box）                    ?

            ",乔治·博克斯（1919—2013）是二十世纪下半叶的统计学大师之一，在实验设计、时间序列分析、统计控制和贝叶斯...

Python测试驱动开发：使用Django、Selenium和JavaScript进行Web编程（第2版）,安道,"本书从最基础的知识开始，讲解Web开发的整个流程，展示如何使用Python做测试驱动开

发。本书由三个部分组..."

Python高性能（第2版）,袁国忠,本书主要介绍如何让Python 程序发挥强大性能，内容涵盖针对数值计算和科学代码的优化，以及用于提高Web 服...

陶哲轩实分析（第3版）,"

陶哲轩(Terence Tao)                    ?

            ",本书主要介绍了数学分析中的内容，以构造数系和集合论开篇，逐渐深入到级数、函数等高等数学内容，举例详实，每部分内...

R数据科学,陈光欣,本书的目标是教会读者使用最重要的数据科学工具，从而为实施数据科学奠定坚实的基础。 读完本书后，你将掌握R语言的...

Flink基础教程,"

埃伦?弗里德曼                    ?

科斯塔斯?宙马斯                    ?

            ",近年来，流处理变得越来越流行。作为高度创新的开源流处理器，Flink拥有诸多优势，包括容错性、高吞吐、低延迟，...

Python机器学习基础教程,张亮（hysic）,本书是机器学习入门书，以Python语言介绍。主要内容包括：机器学习的基本概念及其应用；实践中最常用的机器学习...

DevOps实践指南,刘征,本书共分为6个部分：第一部分概述DevOps的历史和三个基本原则，即“三步工作法”；第二部分介绍开启DevOp...

基础设施即代码：云服务器管理,金明,本书旨在解释如何利用“云时代”基础设施即代码的方法来管理IT基础设施。主要内容包括：组织在采用新一代基础设施技...

代码之外的功夫：程序员精进之路,"

Gregory T. Brown                    ?

            ",本书虽然面向程序员，却不包含代码。在作者看来，90%的程序设计工作都不需要写代码；程序员不只是编程专家，其核心...

奔跑吧，程序员：从零开始打造产品、技术和团队,"

Yevgeniy (Jim) Brikman                    ?

            ",本书以软件工程师出身的创业者的角度，全面介绍了创业公司该如何打造产品、实现技术和建立团队，既是为创业者打造的一...

